BB1F,,,BB2H,,,BB3H,,,BB4H,,,BB5H,,,BB6F,,,BB7F,,,BB8F (bis),,,BB9F,,,BB10H,,,BB11H,,,BB12F,,
Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test,Présentation,Essai,Test
cu,pi,ta,li,ba,li,al,vo,al,br,br,br,ép,co,ép,cu,ba,ba,ép,vo,vo,mo,ch,ch,pi,la,pi,ép,lu,br,mo,mo,pi,li,ti,li
ch,cl,al,ba,pi,ba,lu,al,ta,li,ta,ta,ti,vo,si,li,br,vo,la,cl,mo,ch,mo,al,ba,br,ba,ca,br,ba,br,br,to,lu,si,lu
to,al,li,to,lu,vo,ta,ch,mo,mo,lu,li,al,br,ba,ca,lu,pi,ta,ti,cu,li,cl,dé,br,ba,si,li,ch,ti,ti,ti,co,to,li,pi
la,ta,si,mo,to,cu,ba,cu,vo,ta,vo,lu,ba,cl,ta,mo,pi,si,lu,ép,co,ta,dé,co,vo,si,ca,ta,cu,si,li,cu,mo,mo,lu,br
ba,ép,br,co,mo,ca,pi,ca,dé,ba,mo,mo,si,ta,vo,ta,si,co,ch,cu,la,lu,co,br,ép,vo,ta,vo,ti,lu,ép,ta,br,co,ch,ti
si,ch,ch,ép,ép,to,la,ta,co,to,ch,vo,ca,ba,pi,ba,mo,mo,ba,co,ch,ti,li,pi,ti,dé,cu,ba,co,ch,lu,ba,ti,cu,ca,si
ti,lu,cl,pi,ca,cl,ép,dé,ti,al,li,dé,lu,si,li,ti,vo,cu,li,ch,al,ba,cu,vo,lu,pi,dé,to,ba,cu,ch,pi,vo,ti,br,vo
li,vo,ti,ch,vo,mo,ti,la,ba,pi,la,la,ch,ép,,ch,ti,li,ca,la,ti,si,pi,mo,ta,li,li,br,ca,ép,ca,lu,al,ép,vo,ba
ca,br,lu,ta,cl,ta,cl,ti,la,ca,,ch,to,,,pi,to,to,mo,mo,ép,ép,ba,li,ca,cu,,cu,pi,pi,ba,dé,li,pi,la,la
mo,si,,ti,cu,la,mo,li,pi,la,,lu,mo,,,br,la,lu,br,al,,br,al,ba,to,ca,,si,si,li,ta,li,ch,vo,ba,al
lu,li,,al,br,,ch,pi,li,ti,,,br,,,ép,li,ti,cu,,,cu,br,cl,ch,ta,,la,,ta,co,al,ba,la,pi,ca
br,,,ca,la,,li,ba,,cu,,,pi,,,to,co,,dé,,,al,vo,cu,al,,,al,,,cu,la,ta,si,,ch
dé,,,lu,si,,to,co,,ch,,,ta,,,co,cu,,al,,,to,si,,mo,,,pi,,,si,to,cu,al,,co
vo,,,si,ta,,cu,ép,,si,,,cu,,,si,,,ti,,,la,,,cu,,,mo,,,dé,ch,la,ta,,
ta,,,la,li,,si,mo,,ép,,,li,,,al,,,si,,,dé,,,li,,,dé,,,la,co,dé,ba,,
co,,,cu,,,dé,,,vo,,,la,,,lu,,,to,,,vo,,,co,,,ti,,,cl,ca,ca,dé,,
ép,,,vo,,,br,,,co,,,cl,,,la,,,co,,,co,,,si,,,lu,,,al,vo,,br,,
al,,,cl,,,ca,,,lu,,,dé,,,dé,,,pi,,,cl,,,cl,,,co,,,vo,,,cl,,
cl,,,br,,,co,,,cl,,,vo,,,vo,,,cl,,,ca,,,dé,,,ch,,,pi,,,ca,,
pi,,,dé,,,vo,,,dé,,,co,,,cl,,,vo,,,pi,,,la,,,cl,,,to,,,ch,,
